GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onboarding-wizard,com.internship.tool,ToolApplication,8,3,0,0,3,1,1,1,1,1
onboarding-wizard,com.internship.tool.service,ReminderService,4,100,2,10,2,25,2,7,0,3
onboarding-wizard,com.internship.tool.service,UserService,62,213,14,36,14,48,14,24,3,10
onboarding-wizard,com.internship.tool.service,EmailService,10,76,4,6,2,22,4,3,0,2
onboarding-wizard,com.internship.tool.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
onboarding-wizard,com.internship.tool.config,DataSeeder,1,54,1,3,0,13,1,3,0,2
onboarding-wizard,com.internship.tool.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
onboarding-wizard,com.internship.tool.config,CorsConfig.new WebMvcConfigurer() {...},0,32,0,0,0,6,0,2,0,2
onboarding-wizard,com.internship.tool.config,JwtUtil,17,116,6,12,6,29,6,11,0,8
onboarding-wizard,com.internship.tool.config,JwtAuthFilter,62,43,16,6,15,11,11,3,0,3
onboarding-wizard,com.internship.tool.config,RedisConfig,37,0,0,0,13,0,2,0,2,0
onboarding-wizard,com.internship.tool.config,SecurityConfig,0,148,0,0,0,29,0,12,0,12
onboarding-wizard,com.internship.tool.entity,BaseEntity,0,3,0,0,0,1,0,1,0,1
onboarding-wizard,com.internship.tool.entity,Role,0,15,0,0,0,3,0,1,0,1
onboarding-wizard,com.internship.tool.entity,User,15,38,0,0,6,16,1,11,1,11
onboarding-wizard,com.internship.tool.controller,AuthController,59,190,14,24,17,44,13,12,0,6
onboarding-wizard,com.internship.tool.controller,TestController,2,3,0,0,1,1,1,1,1,1
onboarding-wizard,com.internship.tool.controller,UserController,36,15,0,0,6,3,5,3,5,3
onboarding-wizard,com.internship.tool.exception,GlobalExceptionHandler,7,89,1,1,0,20,2,12,1,12
onboarding-wizard,com.internship.tool.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
onboarding-wizard,com.internship.tool.exception,ErrorResponse,0,27,0,0,0,10,0,5,0,5
onboarding-wizard,com.internship.tool.exception,ResourceNotFoundException,0,23,0,0,0,4,0,2,0,2
onboarding-wizard,com.internship.tool.exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
